2-хлорэтанол	1.213	г/см³
2-этоксиэтанол	0.93535	г/см³
2,10-диметилундекан	0.7633	относительно воды при 4°C
2,2-диметил-1-пропанол	0.812	относительно воды при 4°C
2,2-диметил-3-этилпентан	0.731	относительно воды при 4°C
2,2-диметил-3-этилпентан	0.73478	относительно воды при 4°C
2,2-диметилбутан	0.64916	относительно воды при 4°C
2,2-диметилпентан	0.6739	относительно воды при 4°C
2,2-дифторэтанол	1.3084	относительно воды при 4°C
2,2,2-трифторэтанол	1.3842	относительно воды при 4°C
2,2,2-трихлорэтан-1,1-диол	1.575	относительно воды при 4°C
2,2,2-трихлорэтан-1,1-диол	1.619	г/см³
2,2,2-трихлорэтан-1,1-диол	1.9081	г/см³
2,2,3-триметилбутан	0.6901	относительно воды при 4°C
2,2,3,3-тетраметилгептан	0.7681	относительно воды при 4°C
2,2,3,3,5-пентаметилгексан	0.7615	относительно воды при 4°C
2,2,4-триметилоктан	0.7381	относительно воды при 4°C
2,2,4-триметилпентан	0.69192	г/см³
2,2,4,4,6-пентаметилгептан	0.7638	относительно воды при 4°C
2,2,4,4,6,6-гексахлорциклотрифосфазен	1.98	г/см³
2,2,4,5,5-пентаметилгексан	0.7519	относительно воды при 4°C
2,2,4,6-тетраметилгептан	0.7335	относительно воды при 4°C
2,2,4,6,6-пентаметилгептан	0.7463	относительно воды при 4°C
2,2',4,4',6,6'-гексанитродифенилсульфид	1.72	г/см³
2,3-диметил-2-гептен	0.742	относительно воды при 4°C
2,3-диметилбутан	0.6616	относительно воды при 4°C
2,3-диметилбутан-2-ол	0.8232	г/см³
2,3-диметилнафталин	1.008	г/см³
2,3-диметилпентан	0.6951	относительно воды при 4°C
2,3-диметилфенол	0.98	относительно воды при 4°C
2,3,4-тринитротолуол	1.62	г/см³
2,3,7-триметилоктан	0.757	относительно воды при 4°C
2,3,7,8-тетрахлордибензо[b,e]-1,4-диоксин	1.827	г/см³
2,4-гександион	0.959	относительно воды при 4°C
2,4-диметилнонан	0.7394	относительно воды при 4°C
2,4-диметилпентан	0.6727	относительно воды при 4°C
2,4-диметилпиридин	0.9273	относительно воды при 4°C
2,4-диметилпиридин	0.9493	относительно воды при 4°C
2,4-динитротолуол	1.321	г/см³
2,4-динитротолуол	1.521	г/см³
2,4-дихлорфеноксиуксусная кислота	1.565	г/см³
2,4,4-триметил-2-октен	0.7626	относительно воды при 4°C
2,4,4-триметилдекан	0.8349	относительно воды при 4°C
2,4,4-триметилоктан	0.7422	относительно воды при 4°C
2,4,4,6-тетраметилгептан	0.7414	относительно воды при 4°C
2,4,5-тринитротолуол	1.62	г/см³
2,4,6-триазидо-1,3,5-триазин	1.71	г/см³
2,4,6-триметил-1,3,5-триоксан	0.9943	г/см³
2,4,6-тринитроанилин	1.762	г/см³
2,4,6-тринитробензол-1,3-диол	1.829	г/см³
2,4,6-тринитропиридин	1.77	г/см³
2,4,6-тринитропиридина N-оксид	1.86	г/см³
2,4,6-тринитротолуол	1.663	г/см³
2,4,6-тринитрофенол	1.58	г/см³
2,4,6-тринитрофенол	1.763	г/см³
2,4,7-триметилоктан	0.7347	относительно воды при 4°C
2,5-гександион	0.9737	относительно воды при 4°C
2,5-диметилундекан	0.758	относительно воды при 4°C
2,5-диметокси-3,4-метилендиокси-1-аллилбензол	1.015	г/см³
2,5-диметоксибензиловый спирт	1.173	г/см³
2,5,9-триметилдекан	0.7546	относительно воды при 4°C
2,6-бис(пропан-2-ил)фенол	0.955	г/см³
2,6-диметил-2,5-гептадиен-4-он	0.885	г/см³
2,6-диметилнонан	0.744	относительно воды при 4°C
2,6,10,15,19,23-гексаметилтетракоза-2,6,10,14,18,22-гексаен	0.8584	г/см³
2,6,10,15,19,23-гексаметилтетракозан	0.8093	г/см³
3-(3-нитро-4-фуразанилокси)-4-нитрофуразан	1.907	г/см³
3-аминопропановая кислота	1.437	г/см³
3-бром-1-метилбензол	1.4099	г/см³
3-бромнитробензол	1.1	относительно воды при 4°C
3-бромпропановая кислота	1.48	г/см³
3-бромпропен	1.398	относительно воды при 4°C
3-бутен-2-он	0.86	г/см³
3-гидроксибутаналь	1.103	относительно воды при 4°C
3-диметиламино-1-пропанол	0.872	г/см³
3-изопропил-1-метилбензол	0.861	относительно воды при 4°C
3-метил-1-бутанол	0.812	относительно воды при 4°C
3-метил-1-бутантиол	0.835	г/см³
3-метил-1-пентен	0.67	относительно воды при 4°C
3-метил-1-этилимидазолия тетрафторборат	1.24	г/см³
3-метил-2-бутеновая кислота	1.007	относительно воды при 4°C
3-метил-3-этилоктан	0.7528	относительно воды при 4°C
3-метиланилин	0.989	г/см³
3-метилбутаналь	0.7977	относительно воды при 4°C
3-метилбутановая кислота	0.917	г/см³
3-метилбутилнитрит	0.87	г/см³
3-метилдекан	0.7422	г/см³
3-метилнонан	0.7354	г/см³
3-метилпентан	0.6643	относительно воды при 4°C
3-метилундекан	0.7485	г/см³
3-нитро-1,2,4-триазолон-5	1.93	г/см³
3-оксобутановой кислоты этиловый эфир смесь таутомеров	1.025	относительно воды при 4°C
3-оксопентандиовой кислоты диметиловый эфир	1.185	г/см³
3-октин	0.7522	относительно воды при 4°C
3-пентафторэтил-2,4-бис(трифторметил)-1,1,1,2,4,5,5,5-октафторпентан-3-ил	1.845	относительно воды при 4°C
3-пиридинкарбоновой кислоты амид	1.4	г/см³
3-фенилпропановая кислота	1.07115	относительно воды при 4°C
3-феноксибензальдегид	1.147	г/см³
3-хлорпропаннитрил	1.144	г/см³
3-хлорпропен	0.9376	относительно воды при 4°C
3-хлорфенол	1.245	г/см³
3-хлорфенол	1.268	г/см³
3-цианопропандиовой кислоты диэтиловый эфир	1.0931	относительно воды при 4°C
3-этилгексан	0.71358	относительно воды при 4°C
3-этилпентан	0.6984	относительно воды при 4°C
3-этоксипропен	0.7651	относительно воды при 4°C
3,3-диметилбут-1-ен	0.6531	относительно воды при 4°C
3,3-диметилнонан	0.7469	относительно воды при 4°C
3,3-диметилпентан	0.6933	относительно воды при 4°C
3,3-диэтилгептан	0.7703	относительно воды при 4°C
3,3-диэтилнонан	0.7758	относительно воды при 4°C
3,4-диметилгексан	0.72	относительно воды при 4°C
3,4-диметокси-1-(1-пропенил)бензол	1.0521	г/см³
3,4-диметоксибензиловый спирт	1.157	г/см³
3,4-динитрофуразан	1.62	г/см³
3,4-динитрофуроксан	1.71	г/см³
4-(2,6,6-триметил-1-циклогексен-1-ил)-3-бутен-2-он	0.9407	относительно воды при 4°C
4-(2,6,6-триметилциклогексен-2-ил)-3-бутен-2-он	0.93	относительно воды при 4°C
4-азидо-3-нитрофуроксан	1.83	г/см³
4-аминобензойной кислоты 2-диэтиламиноэтилового эфира гидрохлорид	0.707	г/см³
4-аминобензолсульфамид	1.08	г/см³
4-бром-1-метилбензол	1.3898	г/см³
4-бромацетофенон	1.647	г/см³
4-гептанон	0.8174	относительно воды при 4°C
4-гептанон	0.8205	относительно воды при 4°C
4-гидрокси-3-метоксибензальдегид	1.056	относительно воды при 4°C
4-иодфенол	1.857	г/см³
4-метил-1-пентен	0.6637	относительно воды при 4°C
4-метил-1,3-диоксолан-2-он	1.2047	относительно воды при 4°C
4-метил-2-метоксифенол	1.0919	г/см³
4-метиланилин	0.973	относительно воды при 4°C
4-метиланилин	1.046	относительно воды при 4°C
4-метилдекан	0.7415	относительно воды при 4°C
4-метилнонан	0.7323	г/см³
4-метилпент-3-ен-2-он	0.851	г/см³
4-метилпент-3-ен-2-он	0.8653	г/см³
4-метилтиазол	1.112	г/см³
4-метилфенол	1.014	относительно воды при 4°C
4-метоксианилин	1.0605	г/см³
4-метоксианилин	1.071	г/см³
4-метоксибензальдегид	1.119	г/см³
4-метоксибензойная кислота	1.385	г/см³
4-нитроанилин	1.424	г/см³
4-нитрофенол	1.2809	г/см³
4-нитрофенол	1.479	г/см³
4-оксопентановая кислота	1.1395	г/см³
4-октин	0.7509	относительно воды при 4°C
4-пиридинкарбоновой кислоты этиловый эфир	1.1052	относительно воды при 4°C
4-пирон	1.19	г/см³
4-пропилгептан	0.73	относительно воды при 4°C
4-пропилдекан	0.7703	относительно воды при 4°C
4-пропилоктан	0.7447	относительно воды при 4°C
4-фенилбутан-2-он	0.9849	г/см³
4-хлоранилин	1.17	г/см³
4-хлоранилин	1.427	г/см³
4-хлорбутаналь	1.107	относительно воды при 15°C
4-хлорбутанол-1	1.01	относительно воды при 4°C
4-хлорфенол	1.26	г/см³
4-этилундекан	0.7628	относительно воды при 4°C
4,4'-бис(4-нитро-3-фуразанилазокси)-азоксифуразан	1.88	г/см³
4,4'-бис(O,O-диметилтионфосфорилокси)дифенилсульфид	1.32	г/см³
4,4'-динитро-азоксифуразан	1.82	г/см³
4,4'-динитроазофуроксан	1.94	г/см³
4,7,7-триметилбицикло[4.1.0]гептен-3	0.8645	г/см³
5-(4-амидино-1-тетразено)тетразол моногидрат	1.635	г/см³
5-бутилнонан	0.7587	относительно воды при 4°C
5-метилдодекан	0.7576	относительно воды при 4°C
5-метилнонан	0.7326	г/см³
5-метилтетрагидрофуранон-2	1.0526	г/см³
5-метилфурфурол	1.1126	относительно воды при 4°C
5-метокси-3,4-метилендиокси-1-аллилбензол	1.1425	г/см³
5-нонанон	0.827	относительно воды при 4°C
5-этилнонан	0.7507	относительно воды при 4°C
9,10-антрахинон	1.438	г/см³
абиетиновой кислоты метиловый эфир	1.0476	г/см³
Агат	2.6	г/см³
адамантан	7.2017	г/см³
адамсит	1.648	г/см³
адипиновой кислоты диоктиловый эфир	0.919	г/см³
адипиновой кислоты диэтиловый эфир	1.007	г/см³
азепан-2-он	1.02	г/см³
азетидин	0.8465	относительно воды при 4°C
азидобензол	1.088	г/см³
азидометан	0.869	г/см³
азидоэтан	0.8765	г/см³
азиридин	0.8349	относительно воды при 25°C
азодикарбоновой кислоты диэтиловый эфир	1.1104	г/см³
азот	0.0012506	г/см³
азот	0.808	г/см³
азот	0.8792	относительно воды при 4°C
азота(I) оксид	0.0019778	г/см³
азота(I) оксид	1.226	г/см³
азота(II) оксид	0.0013402	г/см³
азота(II) оксид	1.269	г/см³
азота(III) оксид	1.447	г/см³
азота(III) оксид-фторид	2.176	г/см³
азота(III) оксид-хлорид	0.002992	г/см³
азота(III) оксид-хлорид	1.417	г/см³
азота(III) фторид	1.532	г/см³
азота(III) фторид	1.76	г/см³
азота(IV) оксид	1.491	г/см³
азота(V) гипофторит-диоксид	1.507	г/см³
азота(V) гипофторит-диоксид	1.911	г/см³
азота(V) диоксид-фторид	0.0029	г/см³
азота(V) диоксид-фторид	1.492	г/см³
азота(V) оксид	1.642	г/см³
азотистоводородная кислота	1.13	г/см³
азотная кислота	1.513	г/см³
акридин	1.006	г/см³
акриловой кислоты аллиловый эфир	0.9441	г/см³
акриловой кислоты бутиловый эфир	0.8935	относительно воды при 4°C
акриловой кислоты бутиловый эфир	0.9078	относительно воды при 4°C
