Сказка (молочный) 15 гр. 1/ 7*42шт (шоколад)	8,84
Детский сувенир мармеладные фрукты 1/35гр 44шт (мармелад)	8,86
Хорошая компания мини 1/30гр 25 шт*6 бл (конд. плитка)	8,91
Обожайка в шоколадной глазури 1/80 шт. 30 гр. (зефир)	8,92
Боярушка в белой глазури 1/40шт. 38гр. (торт)	9,12
Боярушка классический 1/40шт. 38гр. (торт)	9,12
Коровка топл. молоко ш/б фас 1/42гр* 6 бл*18 шт. (печенье)	9,13
Хорошая компания молочная с арахисом 1/45гр 40шт (конд. плитка)	9,13
Хорошая компания молочная с вафельной крошкой 1/45гр 40шт (конд. плитка)	9,13
Козинак с арахисом 35 гр. 1/30 шт (конфеты )	9,24
Боярушка в белой глазури 1/40шт. 38гр. (торт)	9,31
Боярушка классический 1/40шт. 38гр. (торт)	9,31
Пирожное "Тими" малина-сливки 1*6бл.*20шт*33гр.	9,43
Пирожное сливочное "Тими" 1*6бл.*20шт*30гр.	9,43
Детский сувенир мармеладные фрукты 1/35гр 44шт (мармелад)	9,47
Сласть ванильная нуга с карамелью. 42 гр.40 шт ( конфеты)	9,50
Сласть ванильная нуга с карамелью. 42 гр.40 шт ( конфеты)	9,50
Сласть шок.нуга с карамелью. 42 гр.40 шт ( конфеты)	9,50
РИГЛИ даблминт 1*20 12 г	9,66
Ригли Сперминт 1* 20шт.	9,66
Слитки в пласт.баночках 1/80шт/15гр.	9,72
Абалдеть 42 г 1/40 шт (конфеты )	9,73
АКЦИЯ Ш-д Бабаевский горький (1*2*128) 20гр. ( шоколад )	9,74
Аппетитки (вкус шоколад) 50 гр 40 шт.(вафли)	10,00
Аппетитки (вкус шоколад) 50 гр 52 шт.(вафли)	10,00
Аппетитки (сливочные) 50 гр 40 шт. (вафли)	10,00
Аппетитки (сливочные) 50 гр 52 шт. (вафли)	10,00
Обыкновенное чудо (классическое) 1/30 шт. 40 гр (вафли) ПРОСТО ЧУДО	10,01
Боярушка (ореховый) 38 г ш/бокс 1/40 шт. (торт)	10,11
Обыкновенное чудо (классическое) 1/30 шт. 40 гр (вафли) ПРОСТО ЧУДО	10,19
Сласть шок.нуга с карамелью. 42 гр.40 шт ( конфеты)	10,20
Шок.плитки 72% 1*4бл.*90 шт. 12 гр. Какао	10,29
Боярушка Люкс (ореховый) 38 г ш/бокс 1/40 шт. (торт)	10,29
Леденцовая карамель Зоопарк 1/20 гр 40шт (петушок) ТУБУС	10,31
Боярушка (ореховый) 38 г ш/бокс 1/40 шт. (торт)	10,31
Хорошая компания вкус пломбир 1/50гр 4*16шт (конд. плитка)	10,34
Фант (кокос) 1/50шт. 38гр (конфеты )	10,36
Аленка 15 гр 1*7*42 (шоколад)	10,45
Абалдеть 42 г 1/40 шт (конфеты )	10,45
Чупа Чупс МАХ ФРУТЕЛЛА Ассорти 1/70 шт	10,77
Чупа Чупс МАХ ФРУТЕЛЛА йогурт 1/70 шт	10,77
Чупа-Чупс Фрутелла йогурт 1/12*70шт.*17гр.	10,77
Пакет Славянка	10,88
Пакет Славянка "Общий" (Кондитерское объединение)	10,88
Прохлада с кокосом 1/40гр 24шт 6бл (батончик-набор )	10,89
Прохлада 1/40гр 24шт 6блт (батончик-набор )	10,89
Пирожное "Бонжур мини" вишня с шоколадом 1*6бл.*20шт*35гр.	11,10
Пирожное "Бонжур мини" вкус тирамису 1*6бл.*20шт*35гр.	11,10
Пирожное "Бонжур мини" вкус чизкейк 1*6бл.*20шт*35гр.	11,10
Хорошая компания вкус тоффи 1/50гр 4*16шт (конд. плитка)	11,11
Фант (кокос) 1/50шт. 38гр (конфеты )	11,13
Джим-Бин 1/30шт42 гр. (батончики )	11,19
Шоколадница 1/6бл.*40 шт.30 гр. ( вафли )	11,44
Джим-Бин 1/30шт45 гр. (батончики )	11,46
Фарс ванильная нуга с желе и шариками 47 г 1/30 шт (конфеты )	11,52
Фарс с хруст. шариками 1/30шт. 47гр. (конфеты )	11,52
Ломтишка глазированный 1/30гр. 1/6бл.*15шт. ( конфеты )	11,62
Томилка со сливочной нугой 1/6бл*24шт. 40гр. ( конфеты )	11,62
Ломтишка десерт 1/30гр 6*15шт (бисквит)	11,62
Little Miss Cleo cо вкусом банана,возд.рисом и карамелью,глазированные шоколадом Мерлетто1/ 4ш.б/24шт. 40 гр.	11,74
Little Miss Cleo cо вкусом клубники,возд.рисом и карамелью,глазированные шоколадом Мерлетто1/ 4ш.б/24шт. 40 гр.	11,74
Little Miss Nikki cо вкусом апельсина,возд.рисом и карамелью,глазированные шоколадом Мерлетто1/ 4ш.б/24шт. 40 гр.	11,74
Little Miss Nikki cо вкусом яблока,возд.рисом и карамелью,глазированные шоколадом Мерлетто1/ 4ш.б/24шт. 40 гр.	11,74
Какао-Нуга и карамель , покрытый шоколадом 1/ 4ш.б/24шт. 40 гр.	11,74
Нуга , карамель и возд рис, покрытый шоколадом 1/ 4ш.б/24шт. 40 гр.	11,74
Я в шоколаде батончики с арахисом Мерлетто1/ 4ш.б/24шт. 40 гр.	11,74
Я в шоколаде батончики с арахисом и изюмом Мерлетто1/ 4ш.б/24шт. 40 гр.	11,74
Сласть Люкс ванил.нуга с желе и шар.1/47 гр.30 шт ( конфеты)	11,74
Калорийное 1/90 шт. 100 гр. (печенье)	11,80
Джим-Бин 1/30шт42 гр. (батончики )	11,97
СПЛЭШ с нугой и арахисом 1*6бл.24шт. 40гр. ( конфеты )	11,98
Сормовское (земляничка) 1/90 шт. 100 гр. (печенье)	12,29
Сормовское (лесной орех) 1/90 шт. 100 гр. (печенье)	12,29
Сормовское (сгущ. молоко) 1/90 шт. 100 гр. (печенье)	12,29
Сормовское (сливочное) 100 гр. 90 шт. (печенье)	12,29
Сласть Люкс ванил.нуга с желе и шар.1/47 гр.30 шт ( конфеты)	12,32
Фарс ванильная нуга с желе и шариками 47 г 1/30 шт (конфеты )	12,36
Леденцовая карамель Зоопарк 1/26гр 35шт (петушок) ТУБУС	12,38
Леденцовая карамель Зоопарк 1/26гр 35шт (петушок) ТУБУС СЕРДЦЕ I LOVE YOU	12,38
Южная ночь 1/90 шт. 100 гр. (печенье)	12,41
